,oficina,tienda 1,tienda 2,tienda 3,tienda 4,tienda 5,tienda 6,tienda 7,tienda 8,tienda 9,tienda 10,tienda 11,tienda 12,tienda 13,tienda 14,tienda 15,tienda 16,tienda 17,tienda 18,tienda 19,tienda 20,tienda 21,tienda 22,tienda 23,tienda 24,tienda 25,tienda 26,tienda 27,tienda 28,tienda 29,tienda 30
oficina,0.0,1.69,0.57,1.41,1.01,1.11,1.32,1.24,1.25,0.77,1.85,1.44,1.05,1.44,1.14,0.83,0.96,1.06,1.93,0.71,1.54,0.7,0.47,1.52,1.31,0.38,1.5,1.45,1.72,1.74,1.26
tienda 1,1.75,0.0,1.72,1.47,1.98,1.99,3.15,0.55,0.62,2.04,0.46,0.76,0.89,2.3,1.2,1.01,0.83,1.42,1.25,1.51,2.09,1.67,1.37,2.77,2.55,2.07,2.56,3.29,0.83,1.6,2.23
tienda 2,0.53,1.3,0.0,1.27,1.47,0.72,1.61,0.82,0.85,1.24,1.45,1.04,0.91,1.87,1.01,0.44,0.57,1.18,1.53,1.18,1.65,1.17,0.93,1.22,1.01,0.78,1.79,1.74,1.32,1.6,2.34
tienda 3,1.53,1.98,1.49,0.0,1.1,2.04,2.93,1.11,0.9,1.69,1.09,0.79,0.65,0.81,0.27,1.24,1.39,0.43,0.33,0.91,0.59,1.31,1.23,2.54,2.33,1.59,2.3,2.74,0.74,0.35,1.59
tienda 4,1.1,3.0,1.69,1.2,0.0,3.07,2.42,1.49,1.5,0.62,2.22,1.92,1.17,0.71,1.33,1.62,1.77,0.86,1.86,0.45,1.1,0.33,0.77,2.91,2.11,0.82,1.33,1.76,2.14,1.48,0.52
tienda 5,1.04,2.21,0.67,1.78,2.04,0.0,1.58,1.44,1.47,1.75,2.42,1.66,1.42,2.59,1.52,1.05,1.19,1.69,2.15,1.86,2.16,1.85,1.62,1.18,0.96,1.38,1.76,1.71,1.94,2.11,2.31
tienda 6,1.72,3.78,1.84,2.9,2.03,1.73,0.0,2.73,2.73,1.24,3.34,2.93,2.54,2.36,2.63,2.17,2.31,2.55,3.5,2.2,2.75,2.18,1.95,0.99,0.73,1.71,0.92,0.47,3.21,3.13,1.47
tienda 7,1.03,0.79,0.92,1.08,1.58,2.33,2.43,0.0,0.22,1.65,0.78,0.36,0.5,1.96,0.81,0.46,0.28,1.03,0.86,1.12,1.71,1.27,0.98,2.04,1.83,1.35,2.16,2.56,0.65,1.22,1.84
tienda 8,1.26,0.71,1.22,0.98,1.48,1.77,2.66,0.24,0.0,1.55,0.59,0.18,0.4,1.78,0.71,0.59,0.52,0.93,0.67,1.02,1.52,1.17,0.88,2.27,2.06,1.58,2.07,2.79,0.46,1.03,1.74
tienda 9,0.95,2.33,1.13,1.75,0.62,1.76,1.12,1.96,1.97,0.0,2.57,2.16,1.77,1.26,1.49,1.47,1.6,1.25,2.41,0.83,1.65,0.37,0.88,1.6,0.81,0.43,0.93,0.83,2.44,2.03,0.48
tienda 10,1.81,0.67,1.77,1.16,2.56,2.57,3.21,0.61,0.48,2.09,0.0,0.37,0.95,1.86,0.99,1.07,0.89,1.33,0.84,1.56,1.65,1.72,1.43,2.82,2.61,2.12,2.61,3.34,0.39,1.16,2.28
tienda 11,1.44,1.01,1.4,0.87,2.35,1.95,2.84,0.41,0.18,1.72,0.48,0.0,0.58,1.65,0.71,0.76,0.69,1.04,0.55,1.19,1.4,1.35,1.05,2.45,2.24,1.75,2.24,2.97,0.34,0.91,1.91
tienda 12,0.97,0.99,0.93,0.65,1.19,1.48,2.37,0.47,0.28,1.26,0.87,0.4,0.0,1.32,0.39,0.59,0.75,0.64,0.95,0.73,1.23,0.88,0.59,1.98,1.77,1.29,1.77,2.5,0.74,0.98,1.45
tienda 13,1.51,2.33,1.77,0.73,0.75,3.29,2.63,1.77,1.56,1.33,1.83,1.56,1.31,0.0,0.86,1.9,2.05,0.67,1.19,0.87,0.38,1.27,1.19,3.12,2.33,1.55,1.54,1.98,1.48,0.82,1.48
tienda 14,1.3,1.39,1.26,0.27,1.23,1.81,2.7,0.88,0.67,1.58,0.86,0.55,0.42,1.05,0.0,1.01,1.16,0.37,0.56,1.04,0.84,1.21,0.92,2.31,2.1,1.61,2.1,2.83,0.72,0.59,1.77
tienda 15,0.71,0.93,0.56,1.3,1.81,1.22,2.11,0.45,0.48,1.41,1.09,0.67,0.72,2.27,1.03,0.0,0.2,1.25,1.17,1.34,2.02,1.5,1.2,1.72,1.51,1.02,2.29,2.24,0.96,1.53,2.06
tienda 16,1.01,0.73,0.62,1.33,1.83,2.27,2.41,0.28,0.51,1.9,1.05,0.7,0.75,2.3,1.06,0.2,0.0,1.28,1.19,1.37,2.04,1.53,1.23,2.02,1.8,1.32,2.59,2.54,0.98,1.56,2.09
tienda 17,1.22,2.42,1.18,0.6,0.86,1.73,2.62,0.98,0.99,1.45,1.33,1.02,0.59,0.69,0.44,1.11,1.26,0.0,1.17,0.67,0.47,1.08,1.0,2.23,2.02,1.36,1.94,2.37,1.19,0.79,1.36
tienda 18,1.57,1.56,1.53,0.32,1.42,2.08,2.97,1.15,0.94,1.85,0.89,0.61,0.69,1.06,0.67,1.28,1.43,0.75,0.0,1.23,0.85,1.48,1.19,2.58,2.37,1.88,2.56,3.1,0.53,0.27,2.5
tienda 19,0.72,1.77,1.24,0.8,0.72,1.79,1.69,1.04,1.05,0.85,1.6,1.29,0.72,0.8,0.6,1.17,1.32,0.42,1.09,0.0,0.89,0.47,0.4,2.29,1.38,0.75,1.25,1.69,1.46,1.21,0.92
tienda 20,1.81,2.06,1.67,0.52,1.04,3.68,2.93,1.57,1.36,1.62,1.65,1.37,1.1,0.34,0.66,1.69,1.84,0.58,1.0,1.16,0.0,1.57,1.49,3.42,2.62,1.85,1.84,2.27,1.29,0.61,1.78
tienda 21,0.73,1.88,1.12,1.46,0.33,1.59,1.33,1.15,1.16,0.37,1.82,1.31,0.9,0.97,0.96,1.28,1.43,0.96,2.12,0.54,1.36,0.0,0.4,1.91,1.11,0.57,0.91,1.36,1.68,1.74,0.58
tienda 22,0.34,1.58,1.13,0.93,0.71,1.68,1.43,0.86,0.86,0.78,1.52,1.01,0.61,1.07,0.66,0.98,1.14,0.73,1.22,0.34,1.17,0.4,0.0,1.86,1.12,0.49,1.29,1.56,1.39,1.26,0.96
tienda 23,1.2,3.26,1.32,2.38,1.86,1.24,0.91,2.21,2.22,1.59,2.82,2.41,2.02,2.41,2.11,1.66,1.79,2.03,2.9,1.68,2.5,1.67,1.43,0.0,0.82,1.2,1.6,1.04,2.69,2.71,2.15
tienda 24,0.98,3.04,1.1,2.16,1.91,0.98,0.6,1.99,2.0,0.8,2.6,2.19,1.8,2.24,1.89,1.44,1.57,1.81,2.68,1.46,2.63,1.45,1.21,0.82,0.0,0.98,0.8,0.73,2.47,3.01,1.35
tienda 25,0.56,1.93,0.74,1.74,0.77,1.21,0.94,1.57,1.57,0.46,2.18,1.77,1.38,1.42,1.47,1.07,1.21,1.08,2.26,0.73,1.81,0.53,0.49,1.5,0.63,0.0,1.12,1.07,2.05,2.19,1.03
tienda 26,1.76,3.82,1.88,2.06,1.13,1.76,1.11,2.77,2.78,0.92,3.25,2.97,1.82,1.46,1.88,2.22,2.35,1.82,2.6,1.22,1.85,0.91,1.32,1.6,0.8,1.76,0.0,0.45,2.89,2.23,0.56
tienda 27,1.58,3.64,1.7,2.5,1.56,1.58,0.54,2.59,2.6,0.78,3.2,2.79,2.4,1.9,2.49,2.04,2.17,2.26,3.04,1.66,2.28,1.36,1.81,1.16,0.6,1.58,0.46,0.0,3.07,2.67,1.0
