,oficina,tienda 1,tienda 2,tienda 3,tienda 4,tienda 5,tienda 6,tienda 7,tienda 8,tienda 9,tienda 10,tienda 11,tienda 12,tienda 13,tienda 14,tienda 15,tienda 16,tienda 17,tienda 18,tienda 19,tienda 20,tienda 21,tienda 22,tienda 23,tienda 24,tienda 25,tienda 26,tienda 27,tienda 28,tienda 29,tienda 30
oficina,0.0,1.29,0.51,1.02,0.88,1.0,1.32,0.79,0.86,0.74,1.34,1.03,0.66,1.21,0.76,0.54,0.74,0.82,1.27,0.64,1.26,0.6,0.31,1.17,0.9,0.38,1.42,1.28,1.31,1.35,0.91
tienda 1,1.29,0.0,1.19,1.46,1.83,1.54,2.6,0.53,0.58,2.01,0.45,0.72,0.86,1.89,1.19,0.82,0.62,1.42,1.2,1.46,1.85,1.63,1.34,2.22,2.03,1.66,2.48,2.57,0.77,1.35,2.08
tienda 2,0.51,1.19,0.0,1.27,1.27,0.58,1.51,0.72,0.85,1.01,1.27,1.02,0.91,1.65,1.01,0.44,0.57,1.18,1.48,1.13,1.63,1.02,0.81,1.14,0.94,0.62,1.64,1.51,1.27,1.6,1.27
tienda 3,1.02,1.46,1.27,0.0,1.05,1.76,2.28,1.05,0.88,1.48,1.09,0.76,0.62,0.69,0.27,1.04,1.2,0.43,0.32,0.72,0.49,1.15,0.92,2.18,1.91,1.34,1.85,2.15,0.74,0.35,1.47
tienda 4,0.88,1.83,1.27,1.05,0.0,1.75,1.51,1.39,1.33,0.62,1.79,1.42,1.05,0.71,1.05,1.31,1.51,0.79,1.37,0.45,0.99,0.33,0.67,1.74,1.17,0.75,0.82,1.24,1.67,1.34,0.45
tienda 5,1.0,1.54,0.58,1.76,1.75,0.0,1.52,1.19,1.32,1.5,1.67,1.49,1.4,2.13,1.49,0.91,0.94,1.67,1.96,1.62,2.11,1.51,1.3,1.15,0.96,1.11,1.75,1.52,1.71,2.08,1.75
tienda 6,1.32,2.6,1.51,2.28,1.51,1.52,0.0,2.11,2.18,0.96,2.65,2.35,1.98,2.16,2.07,1.79,1.98,1.98,2.58,1.63,2.38,1.26,1.43,0.77,0.6,0.94,0.79,0.35,2.62,2.61,1.29
tienda 7,0.79,0.53,0.72,1.05,1.39,1.19,2.11,0.0,0.22,1.51,0.57,0.36,0.47,1.45,0.79,0.35,0.28,0.98,0.84,1.02,1.42,1.15,0.86,1.76,1.56,1.17,2.03,2.08,0.57,1.05,1.59
tienda 8,0.86,0.58,0.85,0.88,1.33,1.32,2.18,0.22,0.0,1.51,0.48,0.18,0.28,1.34,0.61,0.48,0.49,0.87,0.66,0.96,1.27,1.14,0.85,1.88,1.69,1.24,1.98,2.14,0.45,0.87,1.58
tienda 9,0.74,2.01,1.01,1.48,0.62,1.5,0.96,1.51,1.51,0.0,1.99,1.66,1.25,1.26,1.33,1.22,1.42,1.21,1.8,0.83,1.48,0.37,0.77,1.24,0.61,0.43,0.77,0.74,1.96,1.81,0.48
