,oficina,tienda 1,tienda 2,tienda 3,tienda 4,tienda 5,tienda 6,tienda 7,tienda 8,tienda 9,tienda 10,tienda 11,tienda 12,tienda 13,tienda 14,tienda 15,tienda 16,tienda 17,tienda 18,tienda 19,tienda 20,tienda 21,tienda 22,tienda 23,tienda 24,tienda 25,tienda 26,tienda 27,tienda 28,tienda 29,tienda 30
oficina,0.0,0.31,0.12,0.24,0.21,0.24,0.31,0.19,0.21,0.18,0.32,0.25,0.16,0.29,0.18,0.13,0.18,0.19,0.3,0.15,0.3,0.14,0.07,0.28,0.21,0.09,0.34,0.31,0.31,0.32,0.22
tienda 1,0.31,0.0,0.28,0.35,0.44,0.37,0.62,0.13,0.14,0.48,0.11,0.17,0.21,0.45,0.28,0.2,0.15,0.34,0.29,0.35,0.44,0.39,0.32,0.53,0.48,0.4,0.59,0.61,0.18,0.32,0.5
tienda 2,0.12,0.28,0.0,0.31,0.3,0.14,0.36,0.17,0.2,0.24,0.3,0.24,0.22,0.4,0.24,0.1,0.14,0.28,0.35,0.27,0.39,0.24,0.19,0.27,0.22,0.15,0.39,0.36,0.3,0.38,0.3
tienda 3,0.24,0.35,0.31,0.0,0.25,0.42,0.54,0.25,0.21,0.35,0.26,0.18,0.15,0.17,0.06,0.25,0.29,0.1,0.08,0.17,0.12,0.27,0.22,0.52,0.45,0.32,0.44,0.51,0.18,0.08,0.35
tienda 4,0.21,0.44,0.3,0.25,0.0,0.42,0.36,0.33,0.32,0.15,0.43,0.34,0.25,0.17,0.25,0.31,0.36,0.19,0.33,0.11,0.24,0.08,0.16,0.41,0.28,0.18,0.19,0.3,0.4,0.32,0.11
tienda 5,0.24,0.37,0.14,0.42,0.42,0.0,0.37,0.28,0.31,0.36,0.4,0.36,0.33,0.52,0.36,0.22,0.22,0.4,0.47,0.39,0.51,0.36,0.31,0.27,0.23,0.26,0.42,0.37,0.41,0.5,0.42
tienda 6,0.31,0.62,0.36,0.54,0.36,0.37,0.0,0.5,0.52,0.23,0.63,0.56,0.47,0.52,0.49,0.43,0.47,0.47,0.61,0.39,0.57,0.3,0.34,0.18,0.14,0.22,0.19,0.08,0.63,0.62,0.31
tienda 7,0.19,0.13,0.17,0.25,0.33,0.28,0.5,0.0,0.05,0.36,0.14,0.09,0.11,0.35,0.19,0.08,0.07,0.23,0.2,0.24,0.34,0.27,0.2,0.42,0.37,0.28,0.48,0.49,0.14,0.25,0.38
tienda 8,0.21,0.14,0.2,0.21,0.32,0.31,0.52,0.05,0.0,0.36,0.11,0.04,0.07,0.32,0.15,0.11,0.12,0.21,0.16,0.23,0.3,0.27,0.2,0.45,0.4,0.3,0.47,0.51,0.11,0.21,0.38
tienda 9,0.18,0.48,0.24,0.35,0.15,0.36,0.23,0.36,0.36,0.0,0.47,0.39,0.3,0.3,0.32,0.29,0.34,0.29,0.43,0.2,0.36,0.09,0.18,0.3,0.15,0.1,0.18,0.18,0.47,0.43,0.11
